Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Start_Date,Data Value,Season,pollutant,value_std,AQI_cat,AQI_cat_simplified
549849,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,402,West Queens,2016-12-01,26.77,Winter,NO2,107.78055328969889,Mauvais,1
670936,386,Ozone (O3),Mean,ppb,Uhf34,102,Northeast Bronx,2020-06-01,30.85,Summer,O3,0.10426984369057901,Très mauvais,1
164962,383,Sulfur Dioxide (So2),Mean,ppb,Cd,408,Hillcrest And Fresh Meadows (Cd8),2009-12-01,2.77,Winter,SO2,13.086515644830753,Bon,0
643469,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf34,205,Sunset Park,2019-06-01,16.21,Summer,NO2,59.189704689512645,Modéré,0
336768,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,204,Highbridge And Concourse (Cd4),2014-12-01,26.09,Winter,NO2,80.29818681818888,Modéré,0
605268,386,Ozone (O3),Mean,ppb,Uhf42,501,Port Richmond,2018-06-01,28.48,Summer,O3,0.1125492469476601,Dangereux,1
412690,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,111,East Harlem (Cd11),2015-12-31,22.09,Winter,NO2,100.37697947313241,Mauvais,1
667268,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,408,Jamaica,2019-12-01,22.29,Winter,NO2,68.40040797435039,Modéré,0
667507,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf34,105106107,South Bronx,2020-01-01,18.59,Winter,NO2,79.43219241866201,Modéré,0
166899,375,Nitrogen Dioxide (No2),Mean,ppb,Cd,316,Brownsville (Cd16),2013-06-01,17.72,Summer,NO2,60.93164586179191,Modéré,0
216617,386,Ozone (O3),Mean,ppb,Cd,501,St. George And Stapleton (Cd1),2012-06-01,31.52,Summer,O3,0.09741672558794683,Très mauvais,1
216497,386,Ozone (O3),Mean,ppb,Cd,313,Coney Island (Cd13),2012-06-01,37.9,Summer,O3,0.11966900934538864,Dangereux,1
216471,386,Ozone (O3),Mean,ppb,Cd,309,South Crown Heights And Lefferts Gardens (Cd9),2010-06-01,32.25,Summer,O3,0.13023758932176133,Dangereux,1
176665,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,403,Flushing - Clearview,2011-12-01,19.83,Winter,NO2,83.27861695536478,Modéré,0
651050,386,Ozone (O3),Mean,ppb,Cd,410,South Ozone Park And Howard Beach (Cd10),2019-06-01,33.94,Summer,O3,0.11475507934331858,Dangereux,1
171074,383,Sulfur Dioxide (So2),Mean,ppb,Uhf34,409,Southeast Queens,2008-12-01,3.18,Winter,SO2,12.294430488897882,Bon,0
336534,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,208,Canarsie - Flatlands,2014-12-01,23.07,Winter,NO2,96.9087603413122,Modéré,0
405295,383,Sulfur Dioxide (So2),Mean,ppb,Uhf34,305307,Upper East Side-Gramercy,2015-12-01,0.43,Winter,SO2,1.9976301064712172,Bon,0
174794,383,Sulfur Dioxide (So2),Mean,ppb,Uhf42,201,Greenpoint,2012-12-01,1.17,Winter,SO2,4.600806920802336,Bon,0
221840,386,Ozone (O3),Mean,ppb,Uhf34,205,Sunset Park,2012-06-01,32.29,Summer,O3,0.13928614721247437,Dangereux,1
176702,375,Nitrogen Dioxide (No2),Mean,ppb,Uhf42,308,Greenwich Village - Soho,2012-12-01,29.19,Winter,NO2,122.74784179015467,Mauvais,1
